wordAmount,threadAmount,microSeconds
1000,13,3148
1000,13,1782
1000,13,2077
1000,14,2219
1000,14,2082
1000,14,2019
1000,14,2349
1000,14,2836
1000,14,3136
1000,14,2354
1000,14,3396
1000,14,3326
1000,14,2339
1000,14,3125
1000,14,2843
1000,14,2926
1000,14,3459
1000,14,3014
1000,14,11894
1000,14,2596
1000,14,2651
1000,14,2172
1000,14,2195
1000,15,2443
1000,15,2096
1000,15,2528
1000,15,2717
1000,15,2091
1000,15,2179
1000,15,2140
1000,15,2391
1000,15,2145
1000,15,19199
1000,15,3253
1000,15,1929
1000,15,2178
1000,15,2362
1000,15,2361
1000,15,2187
1000,15,2486
1000,15,2358
1000,15,2051
1000,15,2729
1000,16,2627
1000,16,2325
1000,16,3443
1000,16,3469
1000,16,2533
1000,16,4932
1000,16,4016
1000,16,3038
1000,16,8965
1000,16,4107
1000,16,3506
1000,16,2728
1000,16,2711
1000,16,2462
1000,16,2330
1000,16,2983
1000,16,3143
1000,16,9295
1000,16,2909
1000,16,2057
1000,17,3489
1000,17,4216
1000,17,3104
1000,17,3340
1000,17,2974
1000,17,2899
1000,17,3001
1000,17,2701
1000,17,2856
1000,17,2896
1000,17,2993
1000,17,2767
1000,17,2982
1000,17,2705
1000,17,2957
1000,17,2992
1000,17,2893
1000,17,2959
1000,17,2661
1000,17,2943
1000,18,3130
1000,18,2844
1000,18,3067
1000,18,3399
1000,18,3181
1000,18,6351
1000,18,3107
1000,18,3497
1000,18,6363
1000,18,2905
1000,18,3763
1000,18,3521
1000,18,3103
1000,18,2726
1000,18,2753
1000,18,3186
1000,18,3131
1000,18,3216
1000,18,3556
1000,18,3423
1000,19,4461
1000,19,4110
1000,19,3781
1000,19,3445
1000,19,3023
1000,19,3304
1000,19,3584
1000,19,2799
1000,19,3273
1000,19,3316
1000,19,3471
1000,19,3117
1000,19,3223
1000,19,3618
1000,19,3882
1000,19,3708
1000,19,3318
1000,19,3025
1000,19,3081
1000,19,3017
1000,20,3274
1000,20,3041
1000,20,2755
1000,20,3674
1000,20,3141
1000,20,3607
1000,20,4746
1000,20,3967
1000,20,2994
1000,20,3823
1000,20,3521
1000,20,3235
1000,20,4694
1000,20,4109
1000,20,3434
1000,20,3947
1000,20,4369
1000,20,3547
1000,20,3632
1000,20,3787
1000,21,9372
1000,21,3875
1000,21,5047
1000,21,3150
1000,21,3717
1000,21,3123
1000,21,3936
1000,21,3496
1000,21,3865
1000,21,4276
1000,21,3259
1000,21,3295
1000,21,3968
1000,21,3691
1000,21,4581
1000,21,3634
1000,21,3654
1000,21,3712
1000,21,4168
1000,21,3925
1000,22,4053
1000,22,3439
1000,22,3577
1000,22,3579
1000,22,3501
1000,22,4498
1000,22,4770
1000,22,11425
1000,22,4050
1000,22,9694
1000,22,4197
1000,22,4326
1000,22,6716
1000,22,3942
1000,22,4584
1000,22,5258
1000,22,4565
1000,22,3824
1000,22,4166
1000,22,4783
1000,23,6756
1000,23,3750
1000,23,3707
1000,23,3981
1000,23,3718
1000,23,3855
1000,23,4227
1000,23,3913
1000,23,3913
1000,23,4306
1000,23,3500
1000,23,3638
1000,23,3983
1000,23,3666
1000,23,4495
1000,23,4434
1000,23,3742
1000,23,4111
1000,23,3554
1000,23,3901
1000,24,3677
1000,24,4207
1000,24,3661
1000,24,3713
1000,24,3898
1000,24,3994
1000,24,4262
1000,24,4984
1000,24,4316
1000,24,4384
1000,24,9491
1000,24,4889
1000,24,4360
1000,24,4919
1000,24,3777
1000,24,3774
1000,24,3593
1000,24,4117
1000,24,4431
1000,24,4832
1000,25,3778
1000,25,5287
1000,25,4242
1000,25,4366
1000,25,3451
1000,25,3903
1000,25,4000
1000,25,4385
1000,25,3900
1000,25,4367
1000,25,3904
1000,25,4149
1000,25,4271
1000,25,4344
1000,25,3954
1000,25,4227
1000,25,4333
1000,25,3838
1000,25,4354
1000,25,4111
100000,1,3367
100000,1,2199
100000,1,2419
100000,1,2245
100000,1,2071
100000,1,2289
100000,1,2205
100000,1,2160
100000,1,2177
100000,1,2218
100000,1,2100
100000,1,2229
100000,1,5442
100000,1,2427
100000,1,2321
100000,1,2253
100000,1,2261
100000,1,2330
100000,1,2247
100000,1,2189
100000,2,2044
100000,2,2035
100000,2,1960
100000,2,1987
100000,2,1946
100000,2,2064
100000,2,1989
100000,2,2111
100000,2,2071
100000,2,2095
100000,2,2215
100000,2,2035
100000,2,2107
100000,2,1978
100000,2,2009
100000,2,2125
100000,2,2117
100000,2,2044
100000,2,2220
100000,2,1907
100000,3,2194
100000,3,1695
100000,3,1782
100000,3,1758
100000,3,1827
100000,3,1662
100000,3,1923
100000,3,1636
100000,3,1598
100000,3,2199
100000,3,1864
100000,3,1868
100000,3,1996
100000,3,1725
100000,3,1884
100000,3,1825
100000,3,1977
