wordAmount,threadAmount,microSeconds
1000,17,1870
1000,17,2839
1000,17,2008
1000,17,2123
1000,17,1545
1000,17,1349
1000,17,1511
1000,17,1247
1000,17,1809
1000,17,1589
1000,17,1373
1000,17,1288
1000,18,1446
1000,18,1337
1000,18,1374
1000,18,1393
1000,18,1301
1000,18,1996
1000,18,1273
1000,18,1377
1000,18,1822
1000,18,1576
1000,18,1999
1000,18,2215
1000,18,1928
1000,18,1541
1000,18,1304
1000,19,1413
1000,19,1984
1000,19,1321
1000,19,2184
1000,19,2260
1000,19,1440
1000,19,1458
1000,19,1455
1000,19,1399
1000,19,1420
1000,19,1328
1000,19,1436
1000,19,1328
1000,19,1405
1000,19,1312
1000,20,1463
1000,20,1502
1000,20,1547
1000,20,1660
1000,20,1428
1000,20,1332
1000,20,1345
1000,20,1358
1000,20,1379
1000,20,1352
1000,20,1353
1000,20,2182
1000,20,2204
1000,20,1979
1000,20,2183
1000,21,6446
1000,21,2041
1000,21,1854
1000,21,5621
1000,21,1853
1000,21,2163
1000,21,2002
1000,21,1412
1000,21,1696
1000,21,2379
1000,21,1482
1000,21,2792
1000,21,1968
1000,21,1920
1000,21,1500
1000,22,1708
1000,22,1488
1000,22,1413
1000,22,4010
1000,22,5164
1000,22,2093
1000,22,2109
1000,22,1639
1000,22,2700
1000,22,2366
1000,22,2410
1000,22,1853
1000,22,1400
1000,22,1573
1000,22,1462
1000,23,2466
1000,23,2647
1000,23,2330
1000,23,2409
1000,23,1444
1000,23,1530
1000,23,1534
1000,23,1602
1000,23,1468
1000,23,1532
1000,23,1521
1000,23,1548
1000,23,1471
1000,23,2235
1000,23,1704
1000,24,1519
1000,24,1476
1000,24,1687
1000,24,3470
1000,24,3042
1000,24,1560
1000,24,1524
1000,24,1503
1000,24,1516
1000,24,1563
1000,24,1569
1000,24,1612
1000,24,2419
1000,24,2295
1000,24,2599
1000,25,2249
1000,25,2368
1000,25,2311
1000,25,3301
1000,25,2675
1000,25,1869
1000,25,1985
1000,25,3176
1000,25,3144
1000,25,1974
1000,25,4053
1000,25,3099
1000,25,1961
1000,25,1758
1000,25,1799
100000,1,11659
100000,1,10184
100000,1,10124
100000,1,9968
100000,1,10273
100000,1,10222
100000,1,10062
100000,1,9880
100000,1,10268
100000,1,10275
100000,1,9771
100000,1,10003
100000,1,10494
100000,1,9758
100000,1,11063
100000,2,5202
100000,2,5501
100000,2,6157
100000,2,5586
100000,2,5867
100000,2,5473
100000,2,6744
100000,2,6378
100000,2,5673
100000,2,5765
100000,2,5611
100000,2,5664
100000,2,6119
100000,2,5514
100000,2,6132
100000,3,4830
100000,3,4648
100000,3,4647
100000,3,4605
100000,3,4912
100000,3,4758
100000,3,4662
100000,3,4724
100000,3,4784
100000,3,4558
100000,3,4472
100000,3,4590
100000,3,4490
100000,3,4858
100000,3,4602
100000,4,3869
100000,4,4250
100000,4,4444
100000,4,4326
100000,4,3867
100000,4,4248
100000,4,4201
100000,4,4302
100000,4,4046
100000,4,5012
100000,4,4402
100000,4,3948
100000,4,4426
100000,4,4253
100000,4,3658
100000,5,3841
100000,5,4381
100000,5,5026
100000,5,4239
100000,5,4298
100000,5,4156
100000,5,3853
100000,5,3880
100000,5,5263
100000,5,5109
100000,5,5118
100000,5,5424
100000,5,5143
100000,5,5268
100000,5,4980
100000,6,4662
100000,6,4863
100000,6,4842
100000,6,4814
100000,6,6337
100000,6,4613
100000,6,4273
100000,6,4439
100000,6,4647
100000,6,3790
100000,6,4087
100000,6,4744
100000,6,5233
100000,6,4213
100000,6,4127
100000,7,4410
100000,7,4581
100000,7,4335
100000,7,4628
100000,7,4364
100000,7,4411
100000,7,4540
100000,7,4413
100000,7,3934
