wordAmount,threadAmount,milliSeconds
10000000,11,200
10000000,11,198
10000000,11,212
10000000,11,194
10000000,11,212
10000000,12,187
10000000,12,178
10000000,12,200
10000000,12,178
10000000,12,191
10000000,12,196
10000000,12,179
10000000,12,187
10000000,12,181
10000000,12,187
10000000,12,181
10000000,12,185
10000000,12,187
10000000,12,179
10000000,12,192
10000000,12,189
10000000,12,191
10000000,12,183
10000000,12,188
10000000,12,180
10000000,12,188
10000000,12,182
10000000,12,184
10000000,12,176
10000000,12,184
10000000,12,188
10000000,12,183
10000000,12,189
10000000,12,186
10000000,12,188
10000000,13,182
10000000,13,175
10000000,13,176
10000000,13,186
10000000,13,187
10000000,13,174
10000000,13,183
10000000,13,186
10000000,13,184
10000000,13,184
10000000,13,171
10000000,13,175
10000000,13,178
10000000,13,180
10000000,13,181
10000000,13,182
10000000,13,186
10000000,13,178
10000000,13,180
10000000,13,181
10000000,13,177
10000000,13,172
10000000,13,178
10000000,13,199
10000000,13,197
10000000,13,185
10000000,13,190
10000000,13,182
10000000,13,178
10000000,13,177
10000000,14,174
10000000,14,171
10000000,14,173
10000000,14,168
10000000,14,175
10000000,14,197
10000000,14,165
10000000,14,172
10000000,14,175
10000000,14,169
10000000,14,165
10000000,14,167
10000000,14,172
10000000,14,167
10000000,14,169
10000000,14,180
10000000,14,173
10000000,14,166
10000000,14,184
10000000,14,206
10000000,14,159
10000000,14,170
10000000,14,164
10000000,14,168
10000000,14,166
10000000,14,181
10000000,14,175
10000000,14,167
10000000,14,169
10000000,14,166
10000000,15,159
10000000,15,164
10000000,15,154
10000000,15,160
10000000,15,157
10000000,15,167
10000000,15,163
10000000,15,159
10000000,15,174
10000000,15,162
10000000,15,158
10000000,15,156
10000000,15,166
10000000,15,161
10000000,15,151
10000000,15,155
10000000,15,156
10000000,15,158
10000000,15,168
10000000,15,154
10000000,15,162
10000000,15,162
10000000,15,156
10000000,15,156
10000000,15,160
10000000,15,159
10000000,15,162
10000000,15,156
10000000,15,156
10000000,15,156
10000000,16,149
10000000,16,155
10000000,16,158
10000000,16,155
10000000,16,151
10000000,16,169
10000000,16,153
10000000,16,150
10000000,16,158
10000000,16,165
10000000,16,151
10000000,16,151
10000000,16,147
10000000,16,156
10000000,16,162
10000000,16,162
10000000,16,147
10000000,16,150
10000000,16,147
10000000,16,150
10000000,16,150
10000000,16,151
10000000,16,149
10000000,16,152
10000000,16,152
10000000,16,173
10000000,16,147
10000000,16,152
10000000,16,152
10000000,16,159
10000000,17,154
10000000,17,152
10000000,17,146
10000000,17,149
10000000,17,147
10000000,17,145
10000000,17,145
10000000,17,158
10000000,17,151
10000000,17,148
10000000,17,147
10000000,17,147
10000000,17,148
10000000,17,152
10000000,17,154
10000000,17,147
10000000,17,153
10000000,17,190
10000000,17,147
10000000,17,154
10000000,17,148
10000000,17,156
10000000,17,154
10000000,17,146
10000000,17,145
10000000,17,144
10000000,17,143
10000000,17,157
10000000,17,154
10000000,17,148
10000000,18,145
10000000,18,145
10000000,18,144
10000000,18,153
10000000,18,143
10000000,18,146
10000000,18,148
10000000,18,148
10000000,18,142
10000000,18,141
10000000,18,147
10000000,18,145
10000000,18,157
10000000,18,148
10000000,18,155
10000000,18,147
10000000,18,147
10000000,18,148
10000000,18,143
10000000,18,140
10000000,18,141
10000000,18,150
10000000,18,149
10000000,18,151
10000000,18,141
10000000,18,138
10000000,18,141
10000000,18,144
10000000,18,142
10000000,18,144
10000000,19,154
10000000,19,141
10000000,19,144
10000000,19,138
10000000,19,137
10000000,19,140
10000000,19,140
10000000,19,142
10000000,19,142
10000000,19,146
10000000,19,154
10000000,19,142
10000000,19,139
10000000,19,142
10000000,19,139
10000000,19,137
10000000,19,137
10000000,19,140
10000000,19,158
10000000,19,139
10000000,19,151
10000000,19,141
10000000,19,177
10000000,19,136
10000000,19,142
10000000,19,148
10000000,19,144
10000000,19,146
10000000,19,139
10000000,19,139
10000000,20,145
10000000,20,134
10000000,20,142
10000000,20,135
10000000,20,146
10000000,20,141
10000000,20,135
10000000,20,149
10000000,20,137
10000000,20,139
10000000,20,139
10000000,20,151
10000000,20,167
10000000,20,151
10000000,20,138
10000000,20,152
10000000,20,142
10000000,20,124
10000000,20,138
10000000,20,143
10000000,20,138
10000000,20,132
10000000,20,139
10000000,20,146
10000000,20,142
10000000,20,148
10000000,20,142
10000000,20,147
10000000,20,138
10000000,20,141
10000000,21,163
10000000,21,160
10000000,21,152
10000000,21,150
10000000,21,150
10000000,21,152
10000000,21,149
10000000,21,156
10000000,21,152
10000000,21,151
10000000,21,150
10000000,21,148
10000000,21,155
10000000,21,163
10000000,21,170
10000000,21,153
10000000,21,166
10000000,21,154
10000000,21,166
10000000,21,150
10000000,21,153
10000000,21,155
10000000,21,156
10000000,21,167
10000000,21,159
10000000,21,171
10000000,21,160
10000000,21,158
10000000,21,165
10000000,21,145
10000000,22,158
10000000,22,155
10000000,22,167
10000000,22,164
10000000,22,160
10000000,22,148
10000000,22,165
10000000,22,151
10000000,22,160
10000000,22,165
10000000,22,150
10000000,22,154
10000000,22,162
10000000,22,163
10000000,22,159
10000000,22,159
10000000,22,183
10000000,22,160
10000000,22,156
10000000,22,155
10000000,22,167
10000000,22,162
10000000,22,152
10000000,22,166
10000000,22,162
10000000,22,160
10000000,22,153
10000000,22,161
10000000,22,171
10000000,22,150
10000000,23,175
10000000,23,167
10000000,23,155
10000000,23,149
10000000,23,166
10000000,23,182
10000000,23,155
10000000,23,161
10000000,23,151
10000000,23,151
10000000,23,159
10000000,23,162
10000000,23,150
10000000,23,164
10000000,23,155
10000000,23,160
10000000,23,158
10000000,23,155
10000000,23,165
10000000,23,163
10000000,23,179
10000000,23,167
10000000,23,166
10000000,23,176
10000000,23,163
10000000,23,165
10000000,23,161
10000000,23,155
10000000,23,159
10000000,23,164
10000000,24,164
10000000,24,162
10000000,24,162
10000000,24,155
10000000,24,158
10000000,24,161
10000000,24,168
10000000,24,160
10000000,24,160
10000000,24,159
10000000,24,159
10000000,24,155
10000000,24,166
10000000,24,168
10000000,24,163
10000000,24,171
10000000,24,168
10000000,24,163
10000000,24,168
10000000,24,163
10000000,24,167
10000000,24,163
10000000,24,171
10000000,24,165
10000000,24,152
10000000,24,163
10000000,24,156
10000000,24,172
10000000,24,163
10000000,24,174
10000000,25,200
10000000,25,159
10000000,25,158
10000000,25,154
10000000,25,155
10000000,25,162
10000000,25,152
10000000,25,156
10000000,25,165
10000000,25,161
10000000,25,160
10000000,25,160
10000000,25,168
10000000,25,171
10000000,25,190
10000000,25,158
10000000,25,162
10000000,25,154
10000000,25,162
10000000,25,168
10000000,25,170
10000000,25,157
10000000,25,155
10000000,25,161
10000000,25,167
10000000,25,160
10000000,25,181
10000000,25,156
10000000,25,173
10000000,25,156
10000000,26,157
10000000,26,158
10000000,26,166
10000000,26,157
10000000,26,156
10000000,26,158
10000000,26,159
10000000,26,160
10000000,26,154
10000000,26,156
10000000,26,157
10000000,26,153
10000000,26,169
10000000,26,160
10000000,26,162
10000000,26,165
10000000,26,152
10000000,26,159
10000000,26,158
10000000,26,154
10000000,26,146
10000000,26,149
10000000,26,161
10000000,26,163
10000000,26,151
10000000,26,156
10000000,26,153
10000000,26,171
10000000,26,158
10000000,26,155
10000000,27,156
10000000,27,144
10000000,27,153
10000000,27,154
10000000,27,148
10000000,27,156
10000000,27,151
10000000,27,152
10000000,27,158
10000000,27,151
10000000,27,156
10000000,27,148
10000000,27,148
10000000,27,146
10000000,27,148
10000000,27,154
10000000,27,160
10000000,27,148
10000000,27,151
10000000,27,148
10000000,27,159
10000000,27,180
10000000,27,195
10000000,27,144
10000000,27,147
10000000,27,150
10000000,27,144
10000000,27,149
10000000,27,145
10000000,27,155
10000000,28,152
10000000,28,149
10000000,28,148
10000000,28,156
10000000,28,162
10000000,28,153
10000000,28,151
10000000,28,141
10000000,28,142
10000000,28,154
10000000,28,154
10000000,28,195
10000000,28,152
10000000,28,144
10000000,28,155
10000000,28,149
10000000,28,146
10000000,28,145
10000000,28,145
10000000,28,150
10000000,28,143
10000000,28,153
10000000,28,152
10000000,28,157
10000000,28,148
10000000,28,145
10000000,28,143
10000000,28,150
10000000,28,141
10000000,28,154
10000000,29,148
10000000,29,157
10000000,29,146
10000000,29,151
10000000,29,146
10000000,29,144
10000000,29,147
10000000,29,154
10000000,29,173
10000000,29,145
10000000,29,139
10000000,29,142
10000000,29,145
10000000,29,140
10000000,29,141
10000000,29,155
10000000,29,158
10000000,29,141
10000000,29,155
10000000,29,145
10000000,29,150
10000000,29,228
10000000,29,153
10000000,29,163
10000000,29,158
10000000,29,142
10000000,29,162
10000000,29,139
10000000,29,145
10000000,29,135
10000000,30,145
10000000,30,140
10000000,30,137
10000000,30,146
10000000,30,146
10000000,30,154
10000000,30,146
10000000,30,162
10000000,30,156
10000000,30,143
10000000,30,142
10000000,30,154
10000000,30,135
10000000,30,137
10000000,30,143
10000000,30,134
10000000,30,135
10000000,30,141
10000000,30,147
10000000,30,156
10000000,30,144
10000000,30,139
10000000,30,157
10000000,30,139
10000000,30,148
10000000,30,147
10000000,30,145
10000000,30,169
10000000,30,146
10000000,30,145
