wordAmount,threadAmount,milliSeconds
10000000,5,325
10000000,5,332
10000000,5,334
10000000,6,276
10000000,6,281
10000000,6,275
10000000,6,278
10000000,6,274
10000000,6,290
10000000,6,281
10000000,6,291
10000000,6,290
10000000,6,279
10000000,6,281
10000000,6,282
10000000,6,291
10000000,6,285
10000000,6,275
10000000,6,281
10000000,6,281
10000000,6,286
10000000,6,281
10000000,6,276
10000000,6,288
10000000,6,283
10000000,6,303
10000000,6,275
10000000,6,277
10000000,6,278
10000000,6,292
10000000,6,286
10000000,6,278
10000000,6,287
10000000,7,264
10000000,7,264
10000000,7,247
10000000,7,257
10000000,7,256
10000000,7,261
10000000,7,281
10000000,7,260
10000000,7,258
10000000,7,256
10000000,7,263
10000000,7,247
10000000,7,255
10000000,7,251
10000000,7,247
10000000,7,260
10000000,7,265
10000000,7,255
10000000,7,265
10000000,7,255
10000000,7,260
10000000,7,261
10000000,7,269
10000000,7,263
10000000,7,266
10000000,7,258
10000000,7,262
10000000,7,260
10000000,7,251
10000000,7,267
10000000,8,230
10000000,8,237
10000000,8,242
10000000,8,266
10000000,8,250
10000000,8,238
10000000,8,233
10000000,8,239
10000000,8,236
10000000,8,235
10000000,8,233
10000000,8,233
10000000,8,235
10000000,8,237
10000000,8,232
10000000,8,262
10000000,8,252
10000000,8,229
10000000,8,244
10000000,8,260
10000000,8,249
10000000,8,301
10000000,8,239
10000000,8,229
10000000,8,237
10000000,8,229
10000000,8,240
10000000,8,241
10000000,8,230
10000000,8,240
10000000,9,227
10000000,9,224
10000000,9,215
10000000,9,216
10000000,9,223
10000000,9,216
10000000,9,219
10000000,9,212
10000000,9,215
10000000,9,225
10000000,9,208
10000000,9,224
10000000,9,220
10000000,9,213
10000000,9,219
10000000,9,232
10000000,9,225
10000000,9,213
10000000,9,224
10000000,9,218
10000000,9,209
10000000,9,217
10000000,9,219
10000000,9,219
10000000,9,219
10000000,9,208
10000000,9,223
10000000,9,221
10000000,9,215
10000000,9,213
10000000,10,218
10000000,10,204
10000000,10,210
10000000,10,203
10000000,10,207
10000000,10,217
10000000,10,201
10000000,10,226
10000000,10,201
10000000,10,198
10000000,10,203
10000000,10,204
10000000,10,207
10000000,10,200
10000000,10,210
10000000,10,197
10000000,10,213
10000000,10,223
10000000,10,208
10000000,10,208
10000000,10,208
10000000,10,213
10000000,10,197
10000000,10,206
10000000,10,210
10000000,10,206
10000000,10,213
10000000,10,216
10000000,10,205
10000000,10,204
10000000,11,191
10000000,11,198
10000000,11,203
10000000,11,195
10000000,11,189
10000000,11,196
10000000,11,193
10000000,11,203
10000000,11,199
10000000,11,196
10000000,11,207
10000000,11,192
10000000,11,196
10000000,11,203
10000000,11,200
10000000,11,205
10000000,11,199
10000000,11,202
10000000,11,205
10000000,11,209
10000000,11,207
10000000,11,195
10000000,11,200
10000000,11,221
10000000,11,197
